Menu Type,Device Type,Task Type,Menu Depth,Target Item
Marking,Mouse,single,1,Animals
Marking,Mouse,single,1,Food
Marking,Mouse,single,1,Clothing
Marking,Mouse,single,2,Tops
Marking,Mouse,single,2,Mammals
Marking,Mouse,single,2,Fruits
Marking,Mouse,single,3,Orange
Marking,Mouse,single,3,Cats
Marking,Mouse,single,3,T-Shirt
Marking,Mouse,dual,1,Clothing + Continents
Marking,Mouse,dual,1,Animals + Food
Marking,Mouse,dual,1,Food + Clothing
Marking,Mouse,dual,2,Mammals + Fruits
Marking,Mouse,dual,2,Tops + Asia
Marking,Mouse,dual,2,Fruits + Tops
Marking,Mouse,dual,3,Cats + Orange
Marking,Mouse,dual,3,T-Shirt + Japan
Marking,Mouse,dual,3,Orange + T-Shirt
Marking,Trackpad,single,1,Food
Marking,Trackpad,single,1,Clothing
Marking,Trackpad,single,1,Animals
Marking,Trackpad,single,2,Bottoms
Marking,Trackpad,single,2,Vegetables
Marking,Trackpad,single,2,Reptiles
Marking,Trackpad,single,3,Potatoes
Marking,Trackpad,single,3,Lizard
Marking,Trackpad,single,3,Skirt
Marking,Trackpad,dual,1,Food + Clothing
Marking,Trackpad,dual,1,Animals + Food
Marking,Trackpad,dual,1,Clothing + Continents
Marking,Trackpad,dual,2,Reptiles + Vegetables
Marking,Trackpad,dual,2,Vegetables + Bottoms
Marking,Trackpad,dual,2,Bottoms + Africa
Marking,Trackpad,dual,3,Potatoes + Skirt
Marking,Trackpad,dual,3,Skirt + Zimbabwe
Marking,Trackpad,dual,3,Lizard + Potatoes
Radial,Mouse,single,1,Food
Radial,Mouse,single,1,Clothing
Radial,Mouse,single,1,Animals
Radial,Mouse,single,2,Shoes
Radial,Mouse,single,2,Meat
Radial,Mouse,single,2,Fish
Radial,Mouse,single,3,Boots
Radial,Mouse,single,3,Goldfish
Radial,Mouse,single,3,Beef
Radial,Mouse,dual,1,Food + Clothing
Radial,Mouse,dual,1,Clothing + Continents
Radial,Mouse,dual,1,Animals + Food
Radial,Mouse,dual,2,Meat + Shoes
Radial,Mouse,dual,2,Shoes + Europe
Radial,Mouse,dual,2,Fish + Meat
Radial,Mouse,dual,3,Boots + Spain
Radial,Mouse,dual,3,Beef + Boots
Radial,Mouse,dual,3,Goldfish + Beef
Radial,Trackpad,single,1,Clothing
Radial,Trackpad,single,1,Food
Radial,Trackpad,single,1,Animals
Radial,Trackpad,single,2,Birds
Radial,Trackpad,single,2,Dairy
Radial,Trackpad,single,2,Hats
Radial,Trackpad,single,3,Butter
Radial,Trackpad,single,3,Parrot
Radial,Trackpad,single,3,Cap
Radial,Trackpad,dual,1,Food + Clothing
Radial,Trackpad,dual,1,Clothing + Continents
Radial,Trackpad,dual,1,Animals + Food
Radial,Trackpad,dual,2,Dairy + Hats
Radial,Trackpad,dual,2,Hats + America
Radial,Trackpad,dual,2,Birds + Dairy
Radial,Trackpad,dual,3,Cap + Canada
Radial,Trackpad,dual,3,Butter + Cap
Radial,Trackpad,dual,3,Parrot + Butter
